time_sec,cpu_percent,memory_mb
0.05,3.90,968.74
0.13,5.30,968.74
0.21,5.30,968.74
0.31,5.00,968.74
0.41,5.50,968.74
0.51,4.50,968.74
0.61,5.00,968.74
0.71,5.00,968.74
0.81,5.00,968.74
0.91,5.40,968.74
1.01,5.00,968.74
1.11,5.00,968.74
1.21,5.00,968.74
1.31,5.00,968.74
1.41,5.00,968.74
1.51,5.00,968.74
1.61,5.00,968.74
1.71,4.50,968.74
1.81,5.00,968.74
1.91,5.00,968.74
2.01,5.00,968.74
2.11,5.00,968.74
2.21,5.00,968.74
2.31,5.50,968.74
2.41,5.00,968.74
2.51,5.00,968.74
2.61,5.00,968.74
2.71,5.30,968.74
2.81,4.80,968.74
2.91,5.50,968.74
3.01,5.00,968.74
3.11,5.00,968.74
3.21,5.00,968.74
3.31,5.00,968.74
3.41,5.00,968.74
3.51,5.00,968.74
3.61,5.00,968.74
3.71,5.00,968.74
3.81,5.50,968.74
3.91,5.00,968.74
4.01,5.00,968.74
4.11,5.00,968.74
4.21,5.00,968.74
4.31,5.00,968.74
4.41,5.00,968.74
4.51,5.00,968.74
4.61,5.00,968.74
4.71,5.00,968.74
4.81,5.00,968.74
4.91,5.00,968.74
5.01,5.00,968.74
5.11,5.00,968.74
5.21,5.00,968.74
5.31,5.00,968.74
5.41,5.00,968.74
5.51,5.00,968.74
5.61,5.50,968.74
5.71,5.00,968.74
5.81,5.00,968.74
5.91,5.00,968.74
6.01,5.00,968.74
6.11,5.00,968.74
6.21,5.00,968.74
6.31,5.00,968.74
6.41,5.00,968.74
6.51,5.00,968.74
6.61,5.00,968.74
6.71,5.00,968.74
6.81,5.00,968.74
6.91,5.00,968.74
7.01,5.00,968.74
7.11,5.00,968.74
7.21,5.00,968.74
7.31,5.00,968.74
7.41,5.00,968.74
7.51,5.00,968.74
7.61,5.00,968.74
7.71,5.00,968.74
7.81,5.50,968.74
7.91,5.00,968.74
8.01,5.00,968.74
8.11,5.00,968.74
8.21,5.00,968.74
8.31,5.00,968.74
8.41,5.00,968.74
8.51,5.00,968.74
8.61,5.00,968.74
8.71,5.00,968.74
8.81,5.00,968.74
8.91,5.00,968.74
9.01,5.00,968.74
9.11,5.00,968.74
9.21,5.00,968.74
9.31,5.00,968.74
9.41,5.50,968.74
9.51,5.00,968.74
9.61,5.00,968.74
9.71,5.00,968.74
9.81,5.00,968.74
9.91,5.00,968.74
10.01,4.50,968.74
10.11,5.50,968.74
10.21,4.50,968.74
10.31,5.50,968.74
10.41,5.00,968.74
10.51,5.00,968.74
10.61,5.00,968.74
10.71,5.50,968.74
10.81,4.50,968.74
10.91,5.00,968.74
11.01,5.00,968.74
11.11,5.50,968.74
11.21,5.00,968.74
11.31,5.00,968.74
11.41,5.00,968.74
11.51,5.00,968.74
11.61,5.00,968.74
11.71,5.00,968.74
11.81,5.00,968.74
11.91,5.50,968.74
12.01,5.00,968.74
12.11,5.00,968.74
12.21,5.00,968.74
12.31,5.00,968.74
12.41,5.00,968.74
12.51,5.00,968.74
12.61,5.00,968.74
12.71,5.50,968.74
12.81,5.00,968.74
12.91,5.00,968.74
13.01,5.00,968.74
13.11,5.00,968.74
13.21,5.00,968.74
13.31,5.50,968.74
13.41,5.00,968.74
13.51,5.00,968.74
13.61,5.00,968.74
13.71,5.00,968.74
13.81,5.00,968.74
13.91,5.00,968.74
14.01,5.00,968.74
14.11,5.00,968.74
14.21,5.50,968.74
14.31,5.00,968.74
14.41,5.00,968.74
14.51,5.00,968.74
14.61,5.00,968.74
14.71,5.00,968.74
14.81,5.00,968.74
14.91,5.50,968.74
15.01,5.00,968.74
15.11,5.00,968.74
15.21,5.00,968.74
15.31,5.00,968.74
15.41,5.00,968.74
15.51,5.00,968.74
15.61,5.00,968.74
15.71,5.00,968.74
15.81,5.50,968.74
15.91,5.00,968.74
16.01,5.00,968.74
16.11,5.00,968.74
16.21,5.00,968.74
16.31,5.50,968.74
16.41,5.00,968.74
16.51,4.50,968.74
16.61,5.00,968.74
16.71,5.00,968.74
16.81,5.00,968.74
16.91,5.50,968.74
17.01,5.00,968.74
17.11,5.00,968.74
17.21,5.00,968.74
17.31,5.00,968.74
17.41,5.00,968.74
17.51,5.00,968.74
17.61,5.00,968.74
17.71,5.50,968.74
17.81,5.00,968.74
17.91,5.00,968.74
18.01,5.00,968.74
18.11,5.00,968.74
18.21,5.00,968.74
18.31,5.50,968.74
18.41,5.00,968.74
18.51,5.00,968.74
18.61,5.00,968.74
18.71,5.00,968.74
18.81,5.00,968.74
18.91,5.50,968.74
19.01,5.00,968.74
19.11,5.00,968.74
19.21,5.00,968.74
19.31,5.00,968.74
19.41,5.50,968.74
19.51,5.00,968.74
19.61,5.00,968.74
19.71,4.50,968.74
19.81,5.50,968.74
19.91,5.00,968.74
20.01,5.00,968.74
20.11,5.00,968.74
20.21,5.00,968.74
20.31,5.50,968.74
20.41,5.00,968.74
20.51,5.00,968.74
20.61,5.00,968.74
20.71,5.00,968.74
20.81,5.00,968.74
20.91,5.00,968.74
21.01,5.00,968.74
21.11,5.00,968.74
21.21,5.50,968.74
21.31,5.00,968.74
21.41,5.00,968.74
21.51,5.00,968.74
21.61,5.00,968.74
21.71,5.00,968.74
21.81,5.00,968.74
21.91,5.50,968.74
22.01,5.00,968.74
22.11,5.00,968.74
22.21,5.00,968.74
22.31,5.00,968.74
22.41,5.00,968.74
22.51,5.50,968.74
22.61,5.00,968.74
22.71,5.00,968.74
22.81,4.50,968.74
22.91,5.50,968.74
23.01,5.00,968.74
23.11,5.50,968.74
23.21,4.50,968.74
23.31,5.00,968.74
23.41,5.00,968.74
23.51,5.00,968.74
23.61,5.00,968.74
23.71,5.50,968.74
23.81,5.00,968.74
23.91,5.00,968.74
24.01,5.00,968.74
24.11,5.00,968.74
24.21,5.00,968.74
24.31,5.50,968.74
24.41,5.00,968.74
24.51,5.00,968.74
24.61,5.50,968.74
24.71,5.00,968.74
24.81,4.50,968.74
24.91,5.50,968.74
25.01,4.50,968.74
25.11,5.00,968.74
25.21,5.50,968.74
25.31,5.00,968.74
25.41,5.00,968.74
25.51,5.00,968.74
25.61,5.00,968.74
25.71,5.00,968.74
25.81,5.00,968.74
25.91,5.00,968.74
26.01,5.50,968.74
26.11,5.00,968.74
26.21,5.00,968.74
26.31,5.00,968.74
26.41,5.00,968.74
26.51,5.50,968.74
26.61,5.00,968.74
26.71,5.00,968.74
26.81,4.50,968.74
26.91,5.50,968.74
27.01,5.00,968.74
27.11,5.00,968.74
27.21,5.00,968.74
27.31,5.00,968.74
27.41,5.00,968.74
27.51,5.00,968.74
27.61,5.50,968.74
27.71,5.00,968.74
27.81,5.00,968.74
27.91,5.00,968.74
28.01,5.00,968.74
28.11,5.50,968.74
28.21,4.50,968.74
28.31,5.00,968.74
28.41,5.00,968.74
28.51,5.00,968.74
28.61,5.00,968.74
28.71,5.50,968.74
28.81,5.00,968.74
28.91,5.00,968.74
29.01,5.00,968.74
29.11,5.00,968.74
29.21,5.00,968.74
29.31,5.00,968.74
29.41,5.50,968.74
29.51,5.00,968.74
29.61,5.00,968.74
29.71,5.00,968.74
29.81,5.00,968.74
29.91,5.00,968.74
30.01,5.00,968.74
30.11,5.50,968.74
30.21,5.00,968.74
30.31,5.00,968.74
30.41,5.00,968.74
30.51,5.00,968.74
30.61,5.50,968.74
